id,category,name,price,emotion,weather,image,restaurant_id
106,치킨,간장마늘떡강정(S),4400,"적당,기쁨,스트레스","맑음,구름,황사",NULL,4
107,치킨,치파오떡강정(S),4400,"적당,기쁨,스트레스","맑음,구름,황사",NULL,4
108,치킨,후라이드텐더(4조각),4000,"적당,기쁨,스트레스","맑음,구름,황사",NULL,4
109,치킨,후라이드텐더(8조각),7500,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,4
110,사이드,찐감자찰빵2조각,3500,"배고픔,기쁨,스트레스",맑음,NULL,4
111,사이드,코울슬로,1800,"배고픔,기쁨,스트레스",맑음,NULL,4
112,사이드,콘샐러드,1800,"적당,기쁨,스트레스",맑음,NULL,4
113,사이드,바삭크림치즈볼(2조각),2000,"배고픔,기쁨,스트레스","맑음,구름",NULL,4
114,사이드,달콤카라멜볼,2200,"배고픔,기쁨,피곤,스트레스","맑음,구름",NULL,4
115,사이드,케이준양념감자,2000,"적당,기쁨,스트레스","맑음,구름,황사",NULL,4
116,사이드,케이준양념감자(대),3500,"배고픔,기쁨,스트레스","맑음,구름,황사",NULL,4
117,사이드,치즈감자,2800,"적당,기쁨,스트레스",맑음,NULL,4
118,사이드,치즈스틱,2000,"적당,기쁨,스트레스",맑음,NULL,4
119,사이드,매콤김떡만,3500,"적당,피곤,스트레스",맑음,NULL,4
120,사이드,할라피뇨너겟(4조각),2000,"적당,기쁨,스트레스",맑음,NULL,4
121,샐러드,"탄단지 샐러디",8300,적당,맑음,NULL,5
122,샐러드,"로스트닭다리살 샐러디",9500,적당,맑음,NULL,5
123,샌드위치,"칠리베이컨 웜볼",7900,배고픔,맑음,NULL,5
124,샌드위치,"에그베이컨 샌드",6900,적당,맑음,NULL,5
125,샌드위치,"스파이시비프 브레드",7500,"적당,스트레스",맑음,NULL,5
126,샌드위치,"맥시칸 랩",6700,적당,맑음,NULL,5
127,샌드위치,"칠리베이컨 웜랩",6900,적당,맑음,NULL,5
128,샌드위치,"우삼겹 웜랩",7300,적당,맑음,NULL,5
129,샌드위치,"바질치킨 브레드",8200,적당,맑음,NULL,5
130,샌드위치,"바질치킨 랩",7600,적당,맑음,NULL,5
131,샐러드,"시저치킨 샐러디",6700,적당,맑음,NULL,5
132,샐러드,"콥 샐러디",7400,적당,맑음,NULL,5
133,샐러드,"연어 샐러디",9900,적당,맑음,NULL,5
134,샐러드,"우삼겹메밀면 샐러디",8700,적당,맑음,NULL,5
135,샐러드,"단호박두부 샐러디",8900,적당,맑음,NULL,5
136,샌드위치,"우삼겹 웜볼",8500,배고픔,맑음,NULL,5
137,샌드위치,"머쉬룸두부 웜볼",8900,배고픔,맑음,NULL,5
138,샌드위치,"바베큐치킨 웜볼",8900,배고픔,맑음,NULL,5
139,샌드위치,"할라피뇨치킨 웜볼",8500,"배고픔,스트레스",맑음,NULL,5
140,샌드위치,"치킨토마토 샌드",6900,적당,맑음,NULL,5
141,샌드위치,"크리미연어 샌드",7800,적당,맑음,NULL,5
142,샌드위치,"바베큐치킨 샌드",7500,"적당,기쁨,스트레스",맑음,NULL,5
143,샌드위치,"시저치킨 랩",6700,"적당,기쁨,스트레스",맑음,NULL,5
144,샌드위치,"크리미연어 랩",8600,적당,맑음,NULL,5
145,샌드위치,"로스트닭다리살 랩",8500,적당,맑음,NULL,5
146,샌드위치,"크랜베리그릭 랩",6900,적당,맑음,NULL,5
147,샌드위치,"바베큐치킨 웜랩",7900,적당,맑음,NULL,5
148,샌드위치,"할라피뇨치킨 웜랩",7200,"적당,스트레스",맑음,NULL,5
