id,category,name,price,emotion,weather,image,restaurant_id
80,햄버거,오리지널미트볼버거,6200,"배고픔,기쁨,피곤","맑음,구름,황사","menu/Restaurant object (4)/오리지널미트볼버거.jpg",4
81,햄버거,청양마요미트볼버거,6200,"배고픔,기쁨,피곤,스트레스","맑음,구름,황사","menu/Restaurant object (4)/청양마요미트볼버거.jpg",4
82,치킨,꿀간장누룽지싸이순살,14500,"배고픔,기쁨,스트레스","맑음,구름,황사","menu/Restaurant object (4)/꿀간장누룽지싸이순살.jpg",4
83,치킨,마늘톡겨자싸이순살,14500,"배고픔,기쁨,스트레스","맑음,구름,황사","menu/Restaurant object (4)/마늘톡겨자싸이순살.jpg",4
84,치킨,치즈뿌치싸이순살,13900,"배고픔,기쁨,스트레스","맑음,구름,황사","menu/Restaurant object (4)/치즈뿌치싸이순살.jpg",4
85,치킨,군옥수수뿌치싸이순살,13900,"배고픔,기쁨,스트레스","맑음,구름,황사","menu/Restaurant object (4)/군옥수수뿌치싸이순살.jpg",4
86,치킨,핫치즈싸이순살,14500,"배고픔,기쁨,스트레스","맑음,구름,황사","menu/Restaurant object (4)/핫치즈싸이순살.jpg",4
87,치킨,후라이드싸이순살,11900,"배고픔,기쁨,스트레스","맑음,구름,황사","menu/Restaurant object (4)/후라이드싸이순살.jpg",4
88,치킨,맘스양념싸이순살,13900,"배고픔,기쁨,스트레스","맑음,구름,황사","menu/Restaurant object (4)/맘스양념싸이순살.jpg",4
89,치킨,간장마늘싸이순살,13900,"배고픔,기쁨,스트레스","맑음,구름,황사","menu/Restaurant object (4)/간장마늘싸이순살.jpg",4
90,치킨,치파오싸이순살,13900,"배고픔,기쁨,스트레스","맑음,구름,황사","menu/Restaurant object (4)/치파오싸이순살.jpg",4
91,치킨,꿀간장누룽지치킨(반마리),10900,"적당,기쁨,스트레스","맑음,구름,황사","menu/Restaurant object (4)/꿀간장누룽치치킨반마리.jpg",4
92,치킨,꿀간장누룽지치킨(한마리),19500,"배고픔,기쁨,스트레스","맑음,구름,황사","menu/Restaurant object (4)/꿀간장누룽치치킨한마리.jpg",4
93,치킨,마늘톡겨자치킨(반마리),10900,"적당,기쁨,스트레스","맑음,구름,황사","menu/Restaurant object (4)/마늘톡겨자치킨반마리.jpg",4
94,치킨,마늘톡겨자치킨(한마리),19500,"배고픔,기쁨,스트레스","맑음,구름,황사","menu/Restaurant object (4)/마늘톡겨자치킨한마리.jpg",4
95,치킨,치즈뿌치(반마리),10400,"적당,기쁨,스트레스","맑음,구름,황사","menu/Restaurant object (4)/치즈뿌치반마리.jpg",4
96,치킨,치즈뿌치(한마리),18900,"배고픔,기쁨,스트레스","맑음,구름,황사","menu/Restaurant object (4)/치즈뿌치한마리.jpg",4
97,치킨,후라이드치킨(반마리),9400,"적당,기쁨,스트레스","맑음,구름,황사","menu/Restaurant object (4)/후라이드치킨반마리.jpg",4
98,치킨,후라이드치킨(한마리),16900,"배고픔,기쁨,스트레스","맑음,구름,황사","menu/Restaurant object (4)/후라이드치킨한마리.jpg",4
99,치킨,간장마늘치킨(반마리),10400,"적당,기쁨,스트레스","맑음,구름,황사","menu/Restaurant object (4)/간장마늘치킨반마리.jpg",4
100,치킨,간장마늘치킨(한마리),18900,"배고픔,기쁨,스트레스","맑음,구름,황사","menu/Restaurant object (4)/간장마늘치킨한마리.jpg",4
101,치킨,맘스양념치킨(반마리),10400,"적당,기쁨,스트레스","맑음,구름,황사","menu/Restaurant object (4)/맘스양념치킨반마리.jpg",4
102,치킨,맘스양념치킨(한마리),18900,"배고픔,기쁨,스트레스","맑음,구름,황사","menu/Restaurant object (4)/맘스양념치킨한마리.jpg",4
103,치킨,반반치킨(후라이드+양념1종),17900,"배고픔,기쁨,스트레스","맑음,구름,황사","menu/Restaurant object (4)/반반치킨후라이드양념1종.jpg",4
104,치킨,닭강정트리오,12000,"배고픔,기쁨,스트레스","맑음,구름,황사","menu/Restaurant object (4)/닭강정트리오.jpg",4
105,치킨,케이준떡강정(S),4200,"적당,기쁨,스트레스","맑음,구름,황사","menu/Restaurant object (4)/케이준떡강정s.jpg",4
106,치킨,간장마늘떡강정(S),4400,"적당,기쁨,스트레스","맑음,구름,황사","menu/Restaurant object (4)/간장마늘떡강정s.jpg",4
107,치킨,치파오떡강정(S),4400,"적당,기쁨,스트레스","맑음,구름,황사","menu/Restaurant object (4)/치파오떡강정s.jpg",4
108,치킨,후라이드텐더(4조각),4000,"적당,기쁨,스트레스","맑음,구름,황사","menu/Restaurant object (4)/후라이드텐더4조각.jpg",4
109,치킨,후라이드텐더(8조각),7500,"배고픔,기쁨,스트레스","맑음,구름,황사","menu/Restaurant object (4)/후라이드텐더8조각.jpg",4
110,사이드,찐감자찰빵2조각,3500,"배고픔,기쁨,스트레스",맑음,"menu/Restaurant object (4)/찐감자찰빵2조각.jpg",4
111,사이드,코울슬로,1800,"배고픔,기쁨,스트레스",맑음,"menu/Restaurant object (4)/코울슬로.jpg",4
112,사이드,콘샐러드,1800,"적당,기쁨,스트레스",맑음,"menu/Restaurant object (4)/콘샐러드.jpg",4
113,사이드,바삭크림치즈볼(2조각),2000,"배고픔,기쁨,스트레스","맑음,구름","menu/Restaurant object (4)/바삭크림치즈볼2조각.jpg",4
114,사이드,달콤카라멜볼,2200,"배고픔,기쁨,피곤,스트레스","맑음,구름","menu/Restaurant object (4)/달콤카라멜볼.jpg",4
115,사이드,케이준양념감자,2000,"적당,기쁨,스트레스","맑음,구름,황사","menu/Restaurant object (4)/케이준양념감자.jpg",4
116,사이드,케이준양념감자(대),3500,"배고픔,기쁨,스트레스","맑음,구름,황사","menu/Restaurant object (4)/케이준양념감자대.jpg",4
117,사이드,치즈감자,2800,"적당,기쁨,스트레스",맑음,"menu/Restaurant object (4)/치즈감자.jpg",4
118,사이드,치즈스틱,2000,"적당,기쁨,스트레스",맑음,"menu/Restaurant object (4)/치즈스틱.jpg",4
119,사이드,매콤김떡만,3500,"적당,피곤,스트레스",맑음,"menu/Restaurant object (4)/매콤김떡만.jpg",4
120,사이드,할라피뇨너겟(4조각),2000,"적당,기쁨,스트레스",맑음,"menu/Restaurant object (4)/할라피뇨너겟4조각.jpg",4
121,샐러드,"탄단지 샐러디",8300,적당,맑음,"menu/Restaurant object (5)/탄단지_샐러디.png",5
122,샐러드,"로스트닭다리살 샐러디",9500,적당,맑음,"menu/Restaurant object (5)/로스트닭다리살_샐러디.png",5
123,샌드위치,"칠리베이컨 웜볼",7900,배고픔,맑음,"menu/Restaurant object (5)/칠리베이컨_웜볼.png",5
124,샌드위치,"에그베이컨 샌드",6900,적당,맑음,"menu/Restaurant object (5)/에그베이컨_샌드.png",5
125,샌드위치,"스파이시비프 브레드",7500,"적당,스트레스",맑음,"menu/Restaurant object (5)/스파이시비프_브레드.jpg",5
126,샌드위치,"멕시칸 랩",6700,적당,맑음,"menu/Restaurant object (5)/멕시칸_랩.png",5
127,샌드위치,"칠리베이컨 웜랩",6900,적당,맑음,"menu/Restaurant object (5)/칠리베이컨_웜랩.png",5
128,샌드위치,"우삼겹 웜랩",7300,적당,맑음,"menu/Restaurant object (5)/우삼겹_웜랩.png",5
129,샌드위치,"바질치킨 브레드",8200,적당,맑음,"menu/Restaurant object (5)/바질치킨_브레드.png",5
130,샌드위치,"바질치킨 랩",7600,적당,맑음,"menu/Restaurant object (5)/바질치킨_랩.png",5
131,샐러드,"시저치킨 샐러디",6700,적당,맑음,"menu/Restaurant object (5)/시저치킨_샐러디.png",5
132,샐러드,"콥 샐러디",7400,적당,맑음,"menu/Restaurant object (5)/콥_샐러디.png",5
133,샐러드,"연어 샐러디",9900,적당,맑음,"menu/Restaurant object (5)/연어_샐러디.png",5
134,샐러드,"우삼겹메밀면 샐러디",8700,적당,맑음,"menu/Restaurant object (5)/우삼겹메밀면_샐러디.png",5
135,샐러드,"단호박두부 샐러디",8900,적당,맑음,"menu/Restaurant object (5)/단호박두부_샐러디.png",5
136,샌드위치,"우삼겹 웜볼",8500,배고픔,맑음,"menu/Restaurant object (5)/우삼겹_웜볼.png",5
137,샌드위치,"머쉬룸두부 웜볼",8900,배고픔,맑음,"menu/Restaurant object (5)/머쉬룸두부_웜볼.png",5
138,샌드위치,"바베큐치킨 웜볼",8900,배고픔,맑음,"menu/Restaurant object (5)/바베큐치킨_웜볼.png",5
139,샌드위치,"할라피뇨치킨 웜볼",8500,"배고픔,스트레스",맑음,"menu/Restaurant object (5)/할라피뇨치킨_웜볼.png",5
140,샌드위치,"치킨토마토 샌드",6900,적당,맑음,"menu/Restaurant object (5)/치킨토마토_샌드.png",5
141,샌드위치,"크리미연어 샌드",7800,적당,맑음,"menu/Restaurant object (5)/크리미연어_샌드.png",5
142,샌드위치,"바베큐치킨 샌드",7500,"적당,기쁨,스트레스",맑음,"menu/Restaurant object (5)/바베큐치킨_샌드.png",5
143,샌드위치,"시저치킨 랩",6700,"적당,기쁨,스트레스",맑음,"menu/Restaurant object (5)/시저치킨_랩.png",5
144,샌드위치,"크리미연어 랩",8600,적당,맑음,"menu/Restaurant object (5)/크리미연어_랩.png",5
145,샌드위치,"로스트닭다리살 랩",8500,적당,맑음,"menu/Restaurant object (5)/로스트닭다리살_랩.png",5
146,샌드위치,"크랜베리그릭 랩",6900,적당,맑음,"menu/Restaurant object (5)/크랜베리그릭_랩.png",5
147,샌드위치,"바베큐치킨 웜랩",7900,적당,맑음,"menu/Restaurant object (5)/바베큐치킨_웜랩.png",5
148,샌드위치,"할라피뇨치킨 웜랩",7200,"적당,스트레스",맑음,"menu/Restaurant object (5)/할라피뇨치킨_웜랩.png",5
149,덮밥,큐브스테이크덮밥,8800,"배고픔,기쁨","맑음,황사","menu/Restaurant object (6)/큐브스테이크덮밥.png",6
150,덮밥,쭈삼덮밥,6800,배고픔,"맑음,황사","menu/Restaurant object (6)/쭈삼덮밥.jpg",6
151,덮밥,닭갈비숙주덮밥,5200,배고픔,"맑음,황사","menu/Restaurant object (6)/닭갈비숙주덮밥.png",6
152,덮밥,제육숙주덮밥,5200,"배고픔,피곤,스트레스","맑음,황사","menu/Restaurant object (6)/제육숙주덮밥.png",6
