id,name,menu,gram,calorie,carbohydrate,protein,fat,saturatedfat,unsaturatedfat,cholesterol,sodium,potash,ingredient,allergy
174,짝4호(소불+간장치킨),177.0,400.0,801.0,120.0,33.1,19.1,,,,,,"소고기, 닭고기, 마늘, 김치, 양배추, 양파, 당근, 밀가루, 쌀","고기,밀"
175,짝2호(소불+돈까스),178.0,400.0,810.0,118.0,39.0,10.2,,,,,,"소고기, 돼지고기, 밀가루, 당근, 양파, 김치, 양배추, 쌀","고기,밀"
176,짝1호(제육+돈까스),179.0,415.0,781.0,98.0,33.31,30.0,9.0,,200.12,1603.0,,"돼지고기, 마늘, 고추장, 당근, 양파, 밀가루, 쌀, 김치, 양배추","고기,밀"
177,짝5호(소불+제육),180.0,415.0,831.0,120.1,38.21,35.2,11.0,,201.92,1600.0,,"소고기, 돼지고기, 고추장, 당근, 양파, 밀가루, 쌀, 김치, 양배추","고기,밀"
178,만찬도시락,181.0,400.0,793.0,99.2,39.3,38.2,13.0,,243.1,1702.0,,"돼지고기, 소고기, 당근, 양파, 밀가루, 쌀, 김치, 양배추","고기,밀"
179,코다리소불도시락,182.0,400.0,845.0,131.0,41.2,39.91,12.0,,209.0,1654.0,,"생선, 소고기, 당근, 양파, 밀가루, 쌀, 김치, 양배추",밀
180,인기스타,183.0,475.0,839.0,141.0,41.0,20.98,5.3,,182.0,1808.0,,"새우, 닭고기, 소고기, 돼지고기, 밀가루, 김치, 양배추, 당근, 양파, 메추리알, 쌀, 어묵","고기,고기,밀,달걀"
181,진수성찬,184.0,497.0,824.0,122.0,35.0,22.0,7.0,,149.0,1870.0,,"새우, 돼지고기, 고추장, 닭고기, 밀가루, 김치, 양배추, 메추리알, 어묵, 쌀","고기,고기,밀,달걀"
182,한상차림,185.0,475.0,839.0,130.0,37.0,19.0,4.3,,177.0,1775.0,,"소고기, 돼지고기, 생선, 당근, 양파, 김치, 양배추, 메추리알, 쌀, 밀가루","고기,달걀,밀"
183,코다리제육도시락,186.0,400.0,750.0,83.0,41.0,28.0,8.0,,198.0,1771.0,,"생선, 돼지고기, 고추장, 양파, 밀가루, 쌀, 김치, 양배추","고기,밀"
184,새우감자고로케,188.0,100.0,210.0,19.31,4.07,12.91,1.418,6.89,32.0,220.0,133.0,"새우, 감자, 햄, 양파, 달걀, 밀가루 케이준감자 - 밀가루, 감자","고기,달걀,밀"
185,케이준감자,187.0,100.0,313.0,60.0,4.0,4.0,1.1,2.8,,410.0,,"밀가루, 감자",밀
186,국물떡볶이,189.0,200.0,280.0,60.42,6.97,2.91,0.544,0.768,7.0,249.0,571.0,"떡, 고추장, 간장, 고춧가루",콩
187,베트남쌀국수,190.0,624.0,589.0,112.94,25.08,4.12,0.69,,27.0,2539.0,,"쌀, 소고기, 숙주, 양파, 고추, 대파, 레몬",
188,분짜,192.0,500.0,765.0,91.49,35.59,26.45,9.642,11.548,116.0,1009.0,569.0,"쌀, 돼지고기, 양상추, 고수, 어린잎, 레몬",고기
189,반쎄오,193.0,100.0,140.0,23.49,5.88,2.47,1.54,0.418,24.0,117.0,199.0,"쌀, 밀가루, 강황가루, 코코넛밀크",밀
190,매운쌀국수,191.0,300.0,350.0,74.0,7.0,3.1,1.8,,0.0,1080.0,,"쌀, 소고기, 숙주, 양파, 고추, 대파, 레몬",
191,파인애플볶음밥,194.0,250.0,271.0,53.0,12.0,1.4,,,15.0,714.0,,"파인애플, 달걀, 양파, 쌀, 대파, 굴소스",달걀
192,넴,196.0,50.0,95.0,12.0,3.5,3.3,0.5,2.8,,300.0,,"쌀, 상추, 박하, 깻잎, 청경채, 돼지고기, 새우, 레몬",고기
193,하가우,197.0,50.0,47.0,5.0,2.6,0.6,0.1,0.5,,104.0,,"새우, 쌀, 대파, 참기름, 간장",콩
194,꿔이,198.0,200.0,350.0,50.0,20.0,4.0,1.5,2.6,,1500.0,,"쌀, 미역, 소고기, 양파, 마늘, 생각, 숙주, 당근, 오이, 레몬",
195,반미,195.0,100.0,210.0,36.0,9.0,3.5,1.3,,15.0,530.0,,"밀가루, 오이, 고수, 고추, 돼지고기, 굴소스","밀,고기"
196,등심돈까스,202.0,200.0,491.0,24.56,51.77,18.98,5.307,8.254,185.0,883.0,640.0,"돼지고기, 밀가루, 양배추, 쌀","고기,밀"
197,치즈돈까스,203.0,250.0,721.0,25.41,57.87,41.57,17.171,16.385,217.0,1237.0,622.0,"돼지고기, 밀가루, 양배추, 쌀, 치즈","고기,밀,우유"
198,고구마치즈돈까스,209.0,250.0,688.0,27.04,54.36,38.87,16.055,15.318,203.0,1165.0,636.0,"돼지고기, 밀가루, 양배추, 쌀, 고구마, 치즈","고기,밀,우유"
199,치킨까스,212.0,200.0,569.0,25.05,39.54,33.22,8.5,13.364,163.0,564.0,354.0,"닭고기, 밀가루, 양배추, 쌀","고기,밀"
200,카레돈까스,204.0,300.0,551.0,53.12,32.55,23.91,5.311,11.873,78.0,614.0,861.0,"돼지고기, 밀가루, 양배추, 쌀, 카레","고기,밀"
201,쫄면,214.0,200.0,211.0,43.29,4.55,1.54,0.248,0.433,0.0,501.0,337.0,"밀가루, 오이, 양배추, 당근, 콩나물, 상추, 달걀, 고추장, 고춧가루","밀,콩,달걀"
202,우동,215.0,200.0,361.0,73.62,11.82,1.42,0.292,0.288,14.0,1537.0,177.0,"밀가루, 가쓰오부시, 간장, 다시마, 대파, 어묵, 유부","밀,생선,콩"
203,냉모밀,223.0,250.0,281.0,51.39,7.98,4.72,0.73,1.179,13.0,452.0,151.0,"메밀, 무, 김, 파, 고추냉이, 멸치",생선
204,로제돈가스,205.0,150.0,550.0,47.0,28.0,27.0,3.0,24.0,,1000.0,,"돼지고기, 밀가루, 양배추, 쌀, 우유, 토마토","고기,밀,우유"
205,마늘돈가스,206.0,150.0,510.0,29.0,36.0,27.0,5.0,17.0,,940.0,,"돼지고기, 밀가루, 양배추, 쌀, 마늘","고기,밀"
206,로제치즈돈가스,207.0,180.0,630.0,50.0,40.0,51.0,5.0,29.0,,1203.0,,"돼지고기, 밀가루, 양배추, 쌀, 우유, 토마토, 치즈","고기,밀,우유,우유"
207,옛날돈가스,208.0,150.0,500.0,22.0,28.0,29.0,7.0,18.0,,780.0,,"돼지고기, 밀가루, 양배추, 쌀, 데미그라스소스","고기,밀"
208,매운칠리돈가스,210.0,150.0,543.0,32.0,29.0,29.0,6.0,14.0,,820.0,,"돼지고기, 밀가르, 양배추, 쌀, 칠리소스",고기
209,생크림데미그라스볼카츠,211.0,100.0,300.0,20.0,24.0,10.0,,,,500.0,,"돼지고기, 밀가루, 양배추, 쌀, 데미그라스소스, 우유","고기,밀,우유"
210,생크림데미그라스점보돈가스,213.0,100.0,304.0,37.0,24.1,17.1,12.3,11.4,,520.0,302.0,"돼지고기, 밀가루, 양배추, 쌀, 데미그라스소스, 우유","고기,밀,우유"
211,파우동,216.0,200.0,361.0,73.62,11.82,1.42,0.292,0.288,14.0,1537.0,177.0,"밀가루, 가쓰오부시, 간장, 다시마, 대파, 어묵, 유부","밀,생선,콩"
212,얼큰파우동,217.0,200.0,389.0,77.0,13.834,1.92,0.292,0.312,17.0,1603.0,179.0,"밀가루, 가쓰오부시, 간장, 다시마, 대파, 어묵, 유부, 고추","밀,생선,콩"
213,로제우동,218.0,200.0,403.1,73.1,12.931,2.01,0.5,0.52,11.0,1605.0,201.0,"밀가루, 토마토, 우유, 대파","밀,우유"
214,카레라이스,219.0,400.0,544.0,71.72,34.54,14.91,3.7,7.23,43.0,600.0,1194.0,"쌀, 돼지고기 , 감자, 양파, 우유, 카레","고기,우유"
215,데리장조림덮밥,220.0,260.0,370.0,62.0,16.0,5.7,3.7,,95.0,490.0,,"쌀, 양파, 고추, 참기름, 장조림, 버터, 데리야끼소스",고기
216,고추장장조림비빔밥,221.0,260.0,380.0,67.0,16.0,4.2,4.4,,102.0,473.33,,"쌀, 양파, 고추장, 장조림, 참기름, 버터",고기
217,불냉면,222.0,400.0,463.0,75.92,17.37,9.34,2.117,3.419,189.0,1583.0,312.0,"밀가루, 오이, 쌈무, 참기름, 달걀, 마늘","밀,달걀"
218,참치주먹밥,,100.0,202.0,32.0,4.0,6.0,0.78,,0.0,312.0,,"쌀, 참치, 마요네즈",생선
219,닭갈비주먹밥,224.0,300.0,605.0,100.0,29.0,10.0,3.0,3.0,69.0,841.0,578.0,"쌀, 닭고기, 마요네즈, 고추장",고기
220,참치김치주먹밥,228.0,300.0,549.0,64.0,12.0,13.0,,,,,,"쌀, 참치, 김치, 마요네즈",생선
221,떡갈비주먹밥,231.0,300.0,558.0,104.0,20.0,19.0,1.0,,30.0,840.0,501.0,"쌀, 돼지고기, 떡, 마요네즈",고기
222,어묵우동,235.0,200.0,361.0,73.62,11.82,1.42,0.292,0.288,14.0,1537.0,177.0,"밀가루, 가쓰오부시, 간장, 다시마, 대파, 어묵, 유부","밀,생선,콩"
223,김치우동,236.0,300.0,481.0,82.27,12.02,10.84,2.682,6.088,15.0,809.0,357.0,"밀가루, 가쓰오부시, 간장, 다시마, 대파, 김치, 유부","밀,생선,콩"
224,김치볶음주먹밥,225.0,100.0,192.0,37.21,3.6,2.94,0.45,1.097,,258.0,81.0,"쌀, 김치, 참기름,마요네즈",
225,구운스팸주먹밥,226.0,110.0,197.0,31.0,6.0,6.0,2.0,,12.0,502.0,,"쌀, 햄, 마요네즈",고기
226,치즈날치알주먹밥,227.0,105.0,181.0,28.0,4.0,6.0,1.6,,19.0,368.0,,"쌀, 치즈, 날치알, 마요네즈","우유,생선"
227,양념갈비주먹밥,229.0,300.0,584.0,101.0,21.0,23.0,1.23,,39.2,853.0,,"쌀, 간장, 돼지고기, 마요네즈","콩,고기"
228,제육김치주먹밥,230.0,100.0,204.0,33.31,9.3,5.12,0.81,2.3,,302.0,83.0,"쌀, 김치, 돼지고기, 마요네즈",고기
229,담백라면,233.0,120.0,500.0,77.0,12.0,16.0,8.0,,9.0,1780.0,,"밀가루, 고춧가루, 대파, 달걀","밀,달걀"
230,얼큰라면,234.0,120.0,500.0,77.0,12.0,16.0,8.0,,12.0,1880.0,,"밀가루, 고춧가루, 대파, 달걀","밀,달걀"
231,어묵,237.0,50.0,139.0,9.36,9.36,6.86,0.696,3.741,44.0,175.0,201.0,"어묵, 간장",콩
232,순대국밥,238.0,300.0,328.0,33.78,23.25,10.35,3.615,3.145,140.0,1120.0,485.0,"돼지고기, 순대, 사골, 마늘, 대파, 쌀",고기
233,수육국밥,239.0,350.0,498.0,66.05,29.35,11.68,3.566,5.129,73.0,832.0,636.0,"돼지고기, 사골, 마늘, 대파, 쌀",고기
234,얼큰국밥,240.0,300.0,360.0,37.0,22.54,9.21,4.51,2.31,104.0,1203.0,503.0,"돼지고기, 순대, 사골, 마늘, 대파, 쌀, 고춧가루",고기
235,치즈피자,241.0,100.0,237.0,26.08,10.6,10.1,4.304,2.823,21.0,462.0,138.0,"토마토, 밀가루, 치즈, 햄, 올리브, 버섯","밀,우유,고기"
236,불고기피자,244.0,100.0,251.0,33.99,10.78,7.61,2.489,3.266,13.0,374.0,169.0,"소고기, 토마토, 밀가루, 치즈, 올리브, 버섯","밀,우유"
237,치즈오븐스파게티,243.0,400.0,550.0,96.0,24.0,8.0,5.2,,10.0,1400.0,,"토마토, 양파, 마늘, 파슬리, 치즈, 밀가루","우유,밀"
238,알밥,245.0,400.0,392.0,65.21,20.77,6.16,1.294,1.762,222.0,395.0,586.0,"쌀, 날치알, 단무지, 어린잎, 김, 참기름, 김치",생선
239,불닭도리아,242.0,260.0,498.0,80.0,22.0,10.0,8.0,,,798.0,,"쌀, 닭고기, 양파, 치즈, 버터, 밀가루, 우유","고기,우유,밀,우유"
240,소고기쌀국수,246.0,624.0,589.0,112.94,25.08,4.12,0.69,,27.0,2539.0,,"쌀, 소고기, 숙주, 양파, 고추, 대파, 레몬",
241,제육덮밥,250.0,500.0,779.0,115.13,29.85,21.41,6.397,8.788,71.0,544.0,725.0,"돼지고기, 쌀, 김, 고추장, 숙주, 대파",고기
242,김치베이컨볶음밥,251.0,300.0,446.0,75.09,8.75,12.37,1.868,4.729,,844.0,520.0,"돼지고기, 베이컨, 김치, 대파, 숙주, 쌀, 김",고기
243,짬뽕쌀국수,247.0,300.0,350.0,74.0,7.0,3.1,1.8,,32.0,1080.0,,"쌀, 소고기, 숙주, 양파, 고추, 대파, 레몬, 고춧가루",
244,매콤 비빔쌀국수,248.0,300.0,361.0,68.3,6.53,9.32,2.98,,13.0,1321.0,,"쌀, 소고기, 고추장, 양파, 대파",
245,매콤 물쌀국수,249.0,300.0,322.0,71.2,5.43,8.31,3.12,,12.0,1230.0,,"쌀, 소고기, 고춧가루, 양파, 대파",
246,돈까스,252.0,200.0,491.0,24.56,51.77,18.98,5.307,8.254,185.0,883.0,640.0,"돼지고기, 밀가루, 양배추, 쌀","고기,밀"
247,짜조,253.0,22.0,48.0,5.0,2.0,2.0,0.2,0.8,,120.0,60.0,"닭고기, 양파, 치즈, 춘권피, 파프리카","고기,우유"
248,교자만두,254.0,100.0,215.0,28.0,8.0,8.0,1.3,1.433,5.0,290.0,73.0,"밀가루, 돼지고기, 부추, 당근","밀,고기"
249,갈비만두,255.0,100.0,160.0,13.32,8.02,7.9,2.5,3.4,12.0,230.0,100.0,"밀가루, 돼지고기, 간장, 부추, 당근","밀,고기,콩"
250,튀김만두,256.0,50.0,95.0,10.73,4.91,3.43,1.163,1.433,12.0,74.0,,"밀가루, 돼지고기, 부추, 당근","밀,고기"
251,소떡소떡,257.0,100.0,340.0,43.32,10.46,13.61,4.065,6.707,42.0,637.0,171.0,"밀가루, 떡, 소시지","밀,고기"
252,돈코츠라멘,258.0,400.0,499.0,83.47,14.48,10.74,4.232,4.4,21.0,1307.0,324.0,"돼지고기, 간장, 밀가루, 후추, 대파, 마늘","고기,콩,밀"
253,고기덮밥,259.0,300.0,440.0,48.77,28.64,12.74,3.244,5.098,54.0,304.0,486.0,"돼지고기, 간장, 밀가루, 대파, 마늘","고기,콩,밀"
254,육개장,261.0,200.0,165.0,10.45,14.32,7.57,2.083,3.289,20.0,720.0,429.0,"소고기, 고사리, 대파, 숙주",
255,육회비빔밥,262.0,400.0,531.0,72.96,27.52,13.07,3.934,5.322,210.0,361.0,689.0,"소고기, 고추장, 마늘, 깨, 새싹, 김, 간장, 쌀",콩
256,핵불덮밥,260.0,500.0,812.0,103.12,26.3,18.3,4.21,3.2,102.0,601.3,521.0,"돼지고기, 고추장, 마늘, 고추, 깨, 쌀, 김",고기
257,수제비프싱글버거,263.0,150.0,370.0,39.0,11.0,17.0,6.0,,30.0,600.0,,"소고기, 밀가루, 양상추",밀
258,불갈비버거,264.0,182.0,462.0,65.0,22.0,17.0,8.6,,,909.0,,"돼지고기, 밀가루, 양상추, 칠리소스","고기,밀"
259,불갈비체다버거,265.0,190.0,502.0,65.0,20.0,31.0,10.1,,42.0,951.0,,"돼지고기, 밀가루, 양상추, 칠리소스, 치즈","고기,밀,우유"
260,불갈비모짜버거,266.0,190.0,501.0,64.0,20.0,31.0,9.0,,41.0,928.0,,"돼지고기, 밀가루, 양상추, 칠리소스, 치즈","고기,밀,우유"
261,수제비프버거,267.0,167.0,409.0,44.0,14.0,19.0,6.0,,30.0,669.0,,"소고기, 밀가루, 양상추",밀
262,수제비프체다버거,268.0,175.0,414.0,41.0,13.0,22.0,8.0,,65.0,740.0,,"소고기, 밀가루, 양상추, 치즈","밀,우유"
263,수제비프모짜버거,269.0,175.0,412.0,40.0,14.0,22.0,8.0,,66.0,732.0,,"소고기, 밀가루, 양상추, 치즈","밀,우유"
264,수제비프더블치즈버거,270.0,200.0,485.0,39.0,12.0,31.0,10.0,,78.0,760.0,,"소고기, 밀가루, 양상추, 치즈","밀,우유"
265,수제비프해쉬버거,271.0,250.0,40.0,74.0,29.0,5.0,,,,810.0,,"소고기, 밀가루, 양상추, 감자",밀
266,수제비프치즈베이컨버거,272.0,250.0,479.0,76.5,32.0,5.0,,,,870.0,,"소고기, 밀가루, 양상추, 베이컨, 치즈","밀,우유"
267,통살치킨버거,283.0,193.0,585.0,39.0,26.0,36.0,8.0,,75.0,650.0,,"닭고기, 밀가루, 양상추","고기,밀"
268,슈프림양념치킨버거,284.0,155.0,453.0,50.0,14.0,22.0,5.0,,38.0,1001.0,,"닭고기, 밀가루, 양상추, 고추장, 간장","고기,밀,콩"
269,핫갈릭치킨버거,285.0,215.5,588.0,19.5,26.5,18.0,7.85,0.0,37.5,992.5,,"닭고기, 밀가루, 양상추, 마늘, 핫소스","고기,밀"
270,핫바베큐치킨버거,286.0,200.0,484.0,20.0,19.0,20.0,8.0,,,880.0,,"닭고기, 밀가루, 양상추, 핫소스","고기,밀"
271,핫스파이시치킨버거,287.0,160.0,376.0,45.0,13.0,16.0,4.0,,35.0,1180.0,,"닭고기, 밀가루, 양상추, 핫소스","고기,밀"
272,달콤강정치킨버거,288.0,232.0,662.0,13.0,28.0,8.2,,,,1080.0,,"닭고기, 밀가루, 양상추, 올리고당, 간장","고기,밀,콩"
273,핫강정치킨버거,289.0,230.0,672.0,12.0,29.0,9.0,,,,1201.0,,"닭고기, 밀가루, 양상추, 올리고당, 간장","고기,밀,콩"
274,삼겹살쌈밥,297.0,600.0,760.0,101.0,28.1,34.1,12.1,20.1,,1400.0,1000.0,"돼지고기, 쌈장, 상추, 마늘, 쌀",고기
275,제육쌈밥,298.0,600.0,740.0,101.0,27.1,39.1,12.9,19.1,,1504.0,901.0,"돼지고기, 고추장, 양파, 마늘, 상추, 쌀",고기
276,두루치기쌈밥,299.0,600.0,740.0,101.0,27.1,39.1,12.9,19.1,,1504.0,901.0,"돼지고기, 고추장, 김치, 마늘, 상추, 쌀",고기
277,제육덮밥,300.0,500.0,779.0,115.13,29.85,21.41,6.397,8.788,71.0,544.0,725.0,"돼지고기, 고추장, 양파, 마늘, 김, 달걀, 쌀","고기,달걀"
278,두루치기덮밥,301.0,500.0,779.0,115.13,29.85,20.42,5.984,9.31,80.0,510.0,710.0,"돼지고기, 고추장, 김치, 마늘, 김, 달걀, 쌀","고기,달걀"
279,물냉면,302.0,400.0,383.0,64.58,16.5,5.74,1.962,2.293,48.0,1760.0,244.0,"밀가루,  오이, 쌈무, 참기름, 달걀","밀,달걀"
280,비빔냉면,303.0,400.0,463.0,75.92,17.37,9.34,2.117,3.419,189.0,1583.0,312.0,"밀가루, 오이, 쌈무, 참기름, 달걀, 고추장","밀,달걀"
281,빨떡,304.0,200.0,280.0,60.42,6.97,2.91,0.544,0.768,7.0,249.0,571.0,"떡, 대파, 어묵, 고추장, 고춧가루",
282,참치주먹밥,305.0,100.0,202.0,32.0,4.0,6.0,0.78,,,312.0,,"쌀, 참치, 마요네즈",생선
283,라볶이,306.0,300.0,417.0,67.71,10.32,13.83,2.85,4.917,11.0,670.0,678.0,"라면사리, 떡, 대파, 어묵, 고추장, 고춧가루",
284,스크램블스팸김치볶음밥,307.0,300.0,446.0,75.09,8.75,12.37,1.868,4.729,,844.0,520.0,"달걀, 햄, 김치, 마요네즈, 고춧가루, 쌀","달걀,고기"
285,제육한상,308.0,300.0,572.0,31.12,39.12,33.08,9.991,13.746,128.0,832.0,1055.0,"돼지고기, 고추장, 양파, 마늘, 상추, 쌀",고기
286,햄치즈순두부,309.0,300.0,452.0,17.0,23.0,32.0,12.0,13.0,,872.0,501.0,"햄, 치즈, 대파, 순두부, 마늘, 고춧가루, 참기름, 쌀","고기,우유,콩"
287,제육한상+햄치즈순두부,310.0,600.0,1024.0,48.12,62.12,65.08,21.991,26.746,128.0,1704.0,1556.0,"돼지고기, 고추장, 양파, 마늘, 상추, 쌀, 햄, 치즈, 대파, 순두부, 고춧가루, 참기름","고기,고기,우유,콩"
288,제육한상+햄지치즈순두부+주먹밥,311.0,700.0,1184.0,83.12,67.12,70.08,22.881,26.746,128.0,1972.0,1556.0,"돼지고기, 고추장, 양파, 마늘, 상추, 쌀, 햄, 치즈, 대파, 순두부, 고춧가루, 참기름, 김","고기,고기,우유,콩"
289,제육2인정식,312.0,600.0,1014.0,62.3,80.0,67.0,21.0,28.0,250.0,1780.0,2003.0,"돼지고기, 고추장, 양파, 마늘, 상추, 쌀",고기
290,주먹밥,313.0,100.0,160.0,35.0,5.0,5.0,0.89,,,268.0,,"쌀, 김",
291,차돌짬뽕,314.0,500.0,881.0,130.47,36.61,22.56,7.43,10.014,70.0,1462.0,861.0,"소고기, 오징어, 양배추, 당근, 마늘, 간장, 새우, 밀가루, 양파, 고춧가루","콩,밀"
292,잡탕밥,315.0,400.0,518.0,61.45,28.39,18.65,2.708,6.204,46.0,1494.0,843.0,"버섯, 오징어, 새우, 돼지고기, 양파, 당근, 시금치, 대파, 마늘, 굴소스, 간장, 참기름","고기,콩"
293,자장면,316.0,450.0,785.0,129.41,26.81,19.98,5.621,8.517,22.0,600.0,803.0,"돼지고기, 양파, 양배추, 호박, 당근, 콩, 밀가루, 자장가루","고기,콩,밀"
294,삼선짜장,317.0,120.0,500.0,80.0,11.0,15.0,8.0,,10.0,1010.0,,"새우, 오징어, 조개, 돼지고기, 양파, 대파, 청경채, 감자, 자장가루, 밀가루","조개,고기,밀"
295,삼선짬뽕,318.0,350.0,487.0,74.19,28.08,7.89,1.102,3.115,235.0,985.0,612.0,"새우, 오징어, 조개, 돼지고기, 무, 대파, 양파, 청경채, 고추, 밀가루","조개,고기,밀"
296,마파두부덮밥,320.0,300.0,360.0,17.16,23.16,20.66,5.489,8.504,58.0,1616.0,465.0,"두부, 돼지고기, 양파, 대파, 고춧가루, 된장, 고추장, 쌀","콩,고기,콩"
297,삼선볶음밥,319.0,200.0,291.0,37.19,10.19,10.88,1.842,3.173,108.0,620.0,108.0,"쌀, 달걀, 새우, 오징어, 해삼, 부추, 양파, 피망",달걀
298,게살볶음밥,321.0,230.0,385.0,73.0,10.0,6.0,1.2,,50.0,310.0,,"쌀, 게살, 달걀, 대파, 당근, 피방, 굴소스",달걀
299,찹쌀탕수육,323.0,300.0,591.0,64.73,26.99,23.93,7.409,10.555,87.0,447.0,615.0,"돼지고기, 오이, 당근, 양파, 적채, 목이버섯, 올리고당, 밀가루","고기,밀"
300,깐풍기,326.0,200.0,450.0,33.46,20.99,25.35,4.848,12.084,67.0,858.0,294.0,"닭고기, 피망, 피망, 대파, 마늘, 생강, 달걀, 녹말가루, 밀가루, 홍고추","고기,달걀,밀"
301,깐소새우,344.0,200.0,353.0,34.28,22.52,13.42,1.281,6.72,136.0,928.0,290.0,"새우, 양파, 달걀, 전분가루, 고추장, 마늘, 밀가루","달걀,밀"
302,크림새우,341.0,200.0,314.0,23.78,25.95,12.1,3.839,4.489,175.0,743.0,280.0,"밀가루, 새우, 양상추, 호두, 마요네즈","밀,땅콩"
303,깐풍새우,329.0,200.0,420.0,19.0,37.0,14.0,6.1,7.2,,930.0,401.0,"새우, 밀가루, 간장, 굴소스, 대파, 전분가루, 당근, 홍고추, 양파","밀,콩"
304,마라탕,331.0,100.0,275.0,12.5,17.0,20.0,4.3,5.23,40.0,1000.0,700.0,"마라후, 땅콩, 생강, 마늘, 양파, 버섯, 돼지고기","콩,땅콩,고기"
305,마라샹궈,332.0,100.0,175.0,10.0,12.45,13.21,2.31,4.54,53.0,1021.0,441.0,"마라후, 땅콩, 생강, 마늘, 양파, 버섯, 돼지고기","콩,땅콩,고기"
306,꿔보러우,333.0,200.0,384.0,33.18,22.49,17.39,2.854,8.735,62.0,878.0,528.0,"돼지고기, 전분가루, 달걀, 당근, 양파","고기,달걀"
307,물만두,334.0,150.0,280.0,39.0,8.0,10.0,,,,,,"밀가루, 돼지고기, 부추, 당근","밀,고기"
308,육회비빔밥,336.0,400.0,531.0,72.96,27.52,13.07,3.934,5.322,210.0,361.0,689.0,"양파, 시금치, 버섯, 당근, 상추, 쌀, 소고기",
309,수육곰탕,339.0,100.0,185.0,1.83,23.68,9.0,3.498,3.808,52.0,449.0,475.0,"사골, 마늘, 소고기, 파, 양파, 쌀",
310,삼겹살덮밥,335.0,100.0,276.0,32.0,14.0,12.0,561.0,4.2,5.31,612.0,123.21,"돼지고기, 고추장, 양파, 마늘, 김, 달걀, 쌀","고기,달걀"
311,순두부국밥,337.0,500.0,580.0,85.0,34.0,13.0,3.5,4.2,,2300.0,1764.0,"순두부, 양파, 대파, 마늘, 쌀, 돼지고기","콩,고기"
312,우동국밥,338.0,500.0,680.0,91.0,30.0,15.0,3.6,5.5,,1640.0,880.0,"밀가루, 대파, 마늘, 쌀",밀
313,깐소새우,343.0,200.0,353.0,34.28,22.52,13.42,1.281,6.72,136.0,928.0,290.0,"새우, 양파, 달걀, 전분가루, 고추장, 마늘, 밀가루","달걀,밀"
314,크림새우,340.0,200.0,314.0,23.78,25.95,12.1,3.839,4.489,175.0,743.0,280.0,"밀가루, 새우, 양상추, 호두, 마요네즈","밀,땅콩"
315,깐풍새우,328.0,200.0,420.0,19.0,37.0,14.0,6.1,7.2,,930.0,401.0,"새우, 밀가루, 간장, 굴소스, 대파, 전분가루, 당근, 홍고추, 양파","밀,콩"
316,깐소새우,345.0,200.0,353.0,34.28,22.52,13.42,1.281,6.72,136.0,928.0,290.0,"새우, 양파, 달걀, 전분가루, 고추장, 마늘, 밀가루","달걀,밀"
317,크림새우,342.0,200.0,314.0,23.78,25.95,12.1,3.839,4.489,175.0,743.0,280.0,"밀가루, 새우, 양상추, 호두, 마요네즈","밀,땅콩"
318,깐풍새우,330.0,200.0,420.0,19.0,37.0,14.0,6.1,7.2,,930.0,401.0,"새우, 밀가루, 간장, 굴소스, 대파, 전분가루, 당근, 홍고추, 양파","밀,콩"
319,찹쌀탕수육,322.0,300.0,591.0,64.73,26.99,23.93,7.409,10.555,87.0,447.0,615.0,"돼지고기, 오이, 당근, 양파, 적채, 목이버섯, 올리고당, 밀가루","고기,밀"
320,깐풍기,325.0,200.0,450.0,33.46,20.99,25.35,4.848,12.084,67.0,858.0,294.0,"닭고기, 피망, 피망, 대파, 마늘, 생강, 달걀, 녹말가루, 밀가루, 홍고추","고기,달걀,밀"
321,찹쌀탕수육,324.0,300.0,591.0,64.73,26.99,23.93,7.409,10.555,87.0,447.0,615.0,"돼지고기, 오이, 당근, 양파, 적채, 목이버섯, 올리고당, 밀가루","고기,밀"
322,깐풍기,327.0,200.0,450.0,33.46,20.99,25.35,4.848,12.084,67.0,858.0,294.0,"닭고기, 피망, 피망, 대파, 마늘, 생강, 달걀, 녹말가루, 밀가루, 홍고추","고기,달걀,밀"
