id,name,menu,gram,calorie,carbohydrate,protein,fat,saturatedfat,unsaturatedfat,cholesterol,sodium,potash,ingredient,allergy
22,스파이시쉬림프샐러드,23.0,315.0,364.06,50.07,23.14,8.07,,,90.0,160.0,670.0,"현미, 새우, 오이, 로메인, 스리라차마요",
23,오메가3 듬뿍 연어샐러드,25.0,320.1,356.86,47.32,22.59,8.27,,,70.0,150.0,690.0,"현미, 연어, 오이, 로메인, 발사믹소스",생선
24,닭가슴살샐러드,24.0,315.1,376.16,51.72,24.69,14.73,,,110.0,330.0,490.0,"현미, 닭고기, 오이, 로메인, 참깨소스",고기
25,에그 포테이토 샌드위치,26.0,180.0,217.4,26.81,2.47,0.93,,,170.0,180.0,160.0,"달걀, 감자, 밀가루","달걀,밀"
26,참치포테이토샌드위치,27.0,200.0,497.15,65.29,12.98,20.73,,,30.0,790.0,120.0,"달걀, 감자, 밀가루, 참치","달걀,밀,생선"
27,햄 무수비,28.0,190.0,317.88,59.0,7.65,3.49,,,780.0,90.0,140.0,"쌀, 김, 햄, 달걀","고기,달걀"
28,참치마요 오니기리,30.0,95.0,212.0,28.0,4.0,8.0,,,10.0,460.0,0.0,"쌀, 참치, 마요네즈, 크런치믹스",생선
29,크랩 오니기리,29.0,95.0,186.0,38.0,5.0,2.0,,,50.0,60.0,0.0,"쌀, 크래미, 마요네즈, 크런치믹스",
30,여우우유 딸기,34.0,365.0,244.47,32.07,10.42,6.3,,,40.0,160.0,0.0,"우유, 아가베, 딸기",우유
31,여우우유 블루베리,35.0,325.0,244.47,29.73,10.35,6.81,,,40.0,160.0,0.0,"우유, 아가베, 블루베리",우유
32,멸치국수,36.0,500.0,441.0,61.71,22.1,11.44,2.788,3.898,268.0,1331.0,329.0,"밀가루, 달걀, 호박, 김, 멸치","밀,달걀,생선"
33,비빔국수,37.0,400.0,425.0,74.1,14.76,7.22,1.441,2.6,99.0,1626.0,358.0,"밀가루, 양마, 오이, 고추장",밀
34,생칼국수,38.0,350.0,420.0,71.74,16.04,8.79,1.578,2.457,23.0,566.0,529.0,"멸치, 달걀, 파, 감자, 김, 밀가루","생선,달걀,밀"
35,얼큰칼국수,39.0,219.5,510.0,107.0,15.0,3.1,0.7,,35.0,249.0,,"밀가루, 감자, 파, 달걀, 고추장","밀,달걀"
36,들깨칼국수,40.0,250.0,280.0,47.67,11.43,5.8,1.038,1.607,17.0,372.0,443.0,"밀가루, 감자, 파, 달걀, 들깨","밀,달걀"
37,수제비,43.0,400.0,371.0,61.49,15.46,6.73,1.43,2.425,99.0,2335.0,545.0,"밀가루, 양파, 당근, 호박",밀
38,만두국,42.0,400.0,418.0,29.95,24.12,21.79,7.946,9.231,168.0,2350.0,466.0,"만두, 달걀, 대파, 당근",달걀
39,떡만두국,46.0,300.0,442.0,68.42,15.0,11.05,3.971,4.591,76.0,1324.0,271.0,"만두, 달걀, 대파, 당근, 떡",달걀
40,매생이칼국수,41.0,200.0,310.0,85.0,7.0,0.5,,,,860.0,100.0,"매생이, 달걀, 파, 감자, 김, 밀가루","달걀,밀"
41,얼큰수제비,44.0,193.5,470.0,103.0,11.0,1.4,0.0,,5.0,1170.0,,"밀가루, 양파, 당근, 호박, 고추장",밀
42,들깨수제비,45.0,400.0,362.0,59.22,15.67,7.01,1.443,2.506,93.0,2182.0,641.0,"밀가루, 양파, 당근, 호박, 들깨",밀
