id,name,menu,gram,calorie,carbohydrate,protein,fat,saturatedfat,unsaturatedfat,cholesterol,sodium,potash,ingredient
78,청양마요미트볼버거,81,301,799,NULL,36,NULL,15.7,NULL,NULL,1434,NULL,"밀가루, 돼지고기, 토마토, 닭고기, 양상추"
79,꿀간장누룽지싸이순살,82,100,300,NULL,20,NULL,5.2,NULL,NULL,467,NULL,"밀가루, 닭고기, 간장, 꿀, 쌀"
80,마늘톡겨자싸이순살,83,100,324,NULL,21,NULL,4.8,NULL,NULL,546,NULL,"밀가루, 닭고기, 마늘, 겨자"
81,치즈뿌치싸이순살,84,100,418,NULL,22,NULL,5.8,NULL,NULL,614,NULL,"우유, 밀가루, 닭고기, 치즈"
82,군옥수수뿌치싸이순살,85,100,382,NULL,20,NULL,5.4,NULL,NULL,532,NULL,"우유, 밀가루, 닭고기, 옥수수, 치즈"
83,핫치즈싸이순살,86,100,331,NULL,18,NULL,4.9,NULL,NULL,536,NULL,"우유, 밀가루, 토마토, 닭고기, 쇠고기, 오징어, 조개"
84,후라이드싸이순살,87,100,349,NULL,22,NULL,3.9,NULL,NULL,389,NULL,"밀가루, 닭고기"
85,맘스양념싸이순살,88,100,290,NULL,15,NULL,2.9,NULL,NULL,475,NULL,"우유, 밀가루, 닭고기, 토마토"
86,간장마늘싸이순살,89,100,283,NULL,15,NULL,2.4,NULL,NULL,488,NULL,"밀가루, 닭고기, 조개, 간장, 마늘"
87,치파오싸이순살,90,100,290,NULL,16,NULL,2.7,NULL,NULL,477,NULL,"밀가루, 닭고기, 조개"
88,꿀간장누룽치치킨(반마리),91,100,305,NULL,16,NULL,4.6,NULL,NULL,573,NULL,"밀가루, 닭고기, 간장, 꿀, 쌀"
89,꿀간장누룽지치킨(한마리),92,100,305,NULL,16,NULL,4.6,NULL,NULL,573,NULL,"밀가루, 닭고기, 간장, 꿀, 쌀"
90,마늘톡겨자치킨(반마리),93,100,326,NULL,18,NULL,4.2,NULL,NULL,569,NULL,"밀가루, 닭고기, 마늘, 겨자"
91,마늘톡겨자치킨(한마리),94,100,326,NULL,18,NULL,4.2,NULL,NULL,569,NULL,"밀가루, 닭고기, 마늘, 겨자"
92,치즈뿌치(반마리),95,100,304,NULL,24,NULL,4.2,NULL,NULL,458,NULL,"우유, 밀가루, 닭고기, 치즈"
93,치즈뿌치(한마리),96,100,304,NULL,24,NULL,4.2,NULL,NULL,458,NULL,"우유, 밀가루, 닭고기, 치즈"
94,후라이드치킨(반마리),97,100,319,NULL,23,NULL,3.9,NULL,NULL,507,NULL,"밀가루, 닭고기"
95,후라이드치킨(한마리),98,100,319,NULL,23,NULL,3.9,NULL,NULL,507,NULL,"밀가루, 닭고기"
96,간장마늘치킨(반마리),99,100,304,NULL,23,NULL,3.1,NULL,NULL,521,NULL,"밀가루, 닭고기, 조개, 간장, 마늘"
97,간장마늘치킨(한마리),100,100,304,NULL,23,NULL,3.1,NULL,NULL,521,NULL,"밀가루, 닭고기, 조개, 간장, 마늘"
98,맘스양념치킨(반마리),101,100,269,NULL,16,NULL,2.2,NULL,NULL,569,NULL,"우유, 밀가루, 닭고기, 토마토"
99,맘스양념치킨(한마리),102,100,269,NULL,16,NULL,2.2,NULL,NULL,569,NULL,"우유, 밀가루, 닭고기, 토마토"
100,반반치킨(후라이드+양념1종),103,100,310,NULL,22,NULL,4,NULL,NULL,500,NULL,"우유, 밀가루, 닭고기"
101,닭강정트리오,104,100,304,NULL,10,NULL,2.5,NULL,NULL,438,NULL,"우유, 땅콩, 밀가루, 아황산, 닭고기, 조개"
102,케이준떡강정(S),105,100,321,NULL,10,NULL,2.8,NULL,NULL,433,NULL,"우유, 땅콩, 밀가루, 아황산, 닭고기"
103,간장마늘떡강정(S),106,100,301,NULL,9,NULL,2.4,NULL,NULL,420,NULL,"우유, 밀가루, 닭고기, 조개"
104,치파오떡강정(S),107,100,290,NULL,11,NULL,2.5,NULL,NULL,460,NULL,"우유, 밀가루, 닭고기"
105,후라이드텐더(4조각),108,100,308,NULL,23,NULL,3.1,NULL,NULL,394,NULL,"밀가루, 닭고기"
106,후라이드텐더(8조각),109,100,308,NULL,23,NULL,3.1,NULL,NULL,394,NULL,"밀가루, 닭고기"
107,찐감자찰빵2조각,110,100,277,NULL,3,NULL,4.8,NULL,NULL,271,NULL,"우유, 밀가루, 아황산, 감자"
108,코울슬로,111,120,160,NULL,1,NULL,1.1,NULL,NULL,440,NULL,"양배추, 양파, 마요네즈"
109,콘샐러드,112,100,140,NULL,1,NULL,1.2,NULL,NULL,370,NULL,"옥수수, 마요네즈"
110,바삭크림치즈볼(2조각),113,60,209,NULL,3,NULL,4.1,NULL,NULL,238,NULL,"우유, 밀가루, 치즈"
111,달콤카라멜볼,114,62,277,NULL,4,NULL,7.1,NULL,NULL,225,NULL,"우유, 밀가루, 카라멜"
112,케이준양념감자,115,100,313,NULL,5,NULL,3.2,NULL,NULL,750,NULL,"밀가루, 감자"
113,케이준양념감자(대),116,180,564,NULL,8,NULL,5.7,NULL,NULL,1351,NULL,"밀가루, 감자"
114,치즈감자,117,155,439,NULL,8,NULL,6.5,NULL,NULL,1007,NULL,"밀가루, 감자, 치즈"
115,치즈스틱,118,40,129,NULL,6,NULL,2.7,NULL,NULL,217,NULL,"밀가루, 치즈, 우유"
116,매콤김떡만,119,190,269,NULL,10,NULL,3.2,NULL,NULL,848,NULL,"밀가루, 우유, 돼지고기, 아황산, 닭고기, 조개"
117,할라피뇨너겟(4조각),120,65,153,NULL,11,NULL,1.8,NULL,NULL,313,NULL,"밀가루, 닭고기, 조개"
118,탄단지샐러디,121,245,371.1,34.7,17.8,19.6,2.8,NULL,NULL,365.6,NULL,"치킨, 크랜베리, 감자, 견과류, 오리엔탈소스, 채소"
119,로스트닭다리살샐러디,122,320,338.1,51.3,10.9,11.3,2.8,NULL,NULL,880.4,NULL,"닭고기, 단호박, 토마토, 양파, 옥수수, 크리미할라피뇨소스, 채소"
120,콥샐러디,132,215,219.1,14.1,12.3,15.2,4.5,NULL,NULL,486.2,NULL,"채소, 달걀, 옥수수, 올리브, 양파, 베이컨"
121,우삼겹메밀면샐러디,134,305,307,39.2,18.9,14.7,0.9,NULL,NULL,427.2,NULL,"채소, 돼지고기, 메밀, 오이, 양파, 견과류"
122,연어샐러디,133,260,297.4,24.2,15.4,15.2,1.6,NULL,NULL,304.2,NULL,"채소, 연어, 감자, 양파, 레몬"
123,시저치킨샐러디,131,160,116.4,15.1,14,0.9,0.3,NULL,NULL,210.9,NULL,"채소, 닭고기, 크랜베리, 시저소스"
124,칠리베이컨웜볼,123,300,485.4,65.5,20.3,15.8,5.7,NULL,NULL,438.8,NULL,"채소, 쌀, 베이컨, 달걀, 옥수수"
125,우삼겹웜볼,136,285,409.9,59.9,21.3,10.8,1.1,NULL,NULL,242.9,NULL,"채소, 쌀, 돼지고기, 양파, 견과류, 오리엔탈소스"
126,에그베이컨 샌드,124,195,442.5,45.7,14.5,22.1,7.4,NULL,NULL,576.1,NULL,"채소, 달걀, 베이컨, 토마토, 치즈, 허니머스타드소스"
127,치킨토마토샌드,140,194,421.5,39.4,16.1,22.4,6,NULL,NULL,548.3,NULL,"채소, 닭고기, 토마토, 크랜베리, 치즈, 시저소스"
128,맥시칸랩,126,219,565.6,53.9,15.2,32.6,7.3,NULL,NULL,893.7,NULL,"채소, 소고기, 나쵸, 샤워크림, 크리미칠리소스"
129,칠리베이컨웜랩,127,315,744.1,84.3,21,35.9,10.2,NULL,NULL,1153,NULL,"채소, 쌀, 베이컨, 달걀, 옥수수, 크리미칠리소스"
130,우삼겹웜랩,128,305,622,73,23.2,27.4,5.3,NULL,NULL,884,NULL,"채소, 쌀, 돼지고기, 양파, 견과류, 오리엔탈소스"
131,스파이시비프 브레드,125,248,420,62,24.1,17.1,4.8,NULL,NULL,646.3,NULL,"채소, 돼지고기, 양파, 치즈, 크리미칠리소스"
132,바질치킨 브레드,129,269,588,63.3,23.9,24,8.6,NULL,NULL,831.5,NULL,"채소, 닭고기, 토마토, 양파, 할라피뇨, 치즈, 크리미할라피뇨소스"
133,바질치킨 랩,130,224,524,48.1,20.8,27.5,6.4,NULL,NULL,882.7,NULL,"채소, 닭고기, 바질페스토, 크랜베리, 시저소스"
134,단호박두부 샐러디,135,295,264.4,36.4,7.3,11.8,1.6,NULL,NULL,368.7,NULL,"채소, 단호박, 두부, 당근, 옥수수, 올리브, 타바스코오리엔탈소스"
135,머쉬룸두부 웜볼,137,360,431.5,76.3,15.6,10.4,1.1,NULL,NULL,182.6,NULL,"채소, 쌀, 버섯, 두부, 양파, 옥수수, 타바스코오리엔탈소스"
136,바베큐치킨 웜볼,138,370,519.3,90.5,17.3,8.3,0.9,NULL,NULL,583.6,NULL,"채소, 쌀, 닭고기, 달걀, 양파, 옥수수, 타바스코오리엔탈소스"
137,할라피뇨치킨 웜볼,139,345,409.3,71.4,24.9,5.2,0.5,NULL,NULL,786.8,NULL,"채소, 쌀, 닭고기, 할라피뇨, 옥수수, 샤워크림, 크리미칠리소스"
138,크리미연어 샌드,141,204,396.1,39.7,14.9,19.7,4.9,NULL,NULL,751.7,NULL,"채소, 연어, 양파, 토마토, 치즈, 크리미할라피뇨소스"
139,바베큐치킨 샌드,142,234,415.6,46.5,14.6,16.7,7.5,NULL,NULL,835.5,NULL,"채소, 닭고기, 토마토, 양파, 치즈, 허니머스타드소스"
140,시저치킨 랩,143,224,501.1,49.8,18.6,26.2,6,NULL,NULL,824.1,NULL,"채소, 닭고기, 크랜베리, 시저소스"
141,크리미연어 랩,144,249,488.1,53.6,16.1,19.8,4.1,NULL,NULL,1027.1,NULL,"채소, 연어, 양파, 토마토, 크리미할라피뇨소스"
142,로스트닭다리살 랩,145,289,564,60,16.2,25.5,7.7,NULL,NULL,1184.4,NULL,"채소, 닭고기, 양파, 토마토, 할라피뇨, 샤워크림, 크리미할라피뇨소스"
143,크랜베리그릭 랩,146,222,538.2,56.4,11.2,31.3,9,NULL,NULL,760.9,NULL,"채소, 치즈, 크랜베리, 올리브, 토마토, 견과류, 시저소스"
144,바베큐치킨 웜랩,147,350,629.9,95.5,17.3,17.8,4,NULL,NULL,1208,NULL,"채소, 쌀, 닭고기, 양파, 옥수수, 할라피뇨, 허니머스타드소스"
145,할라피뇨치킨 웜랩,148,338,603.8,47.5,17.2,15.4,2.2,NULL,NULL,789.2,NULL,"채소, 쌀, 닭고기, 할라피뇨, 샤워크림, 크리미칠리소스"
146,참치마요,160,217,425,55,11,18,3.2,NULL,30,620,NULL,"쌀, 참치, 양파, 김, 달걀, 마요네즈, 데리야끼소스"
147,치킨마요,161,233,425,61,14,14,2.4,NULL,65,810,NULL,"쌀, 닭고기, 양파, 김, 달걀, 마요네즈, 데리야끼소스"
148,큐브스테이크덮밥,149,300,445,54.33,25.29,13.29,5.265,5.6,47,685,565,"소고기, 쌀, 양파, 파, 겨자, 데리야끼소스"
149,쭈삼덮밥,150,100,276,32,14,12,561,4.2,5.31,230,123.21,"쭈꾸미, 돼지고기, 고추장, 양파, 겨자, 쌀"
150,닭갈비숙주덮밥,151,310,460,75,15,11,1.3,NULL,30,920,NULL,"닭고기, 숙주, 양파, 고추장, 겨자, 쌀"
151,제육숙주덮밥,152,500,779,115.13,29.85,21.41,6.397,8.788,71,544,725,"돼지고기, 숙주, 양파, 고추장, 겨자, 쌀"
152,소불숙주덮밥,153,300,440,48.77,28.64,12.74,3.244,5.098,54,304,486,"소고기, 숙주, 양파, 쌀, 겨자"
153,쭈불덮밥,154,100,298,54.1,28.12,15.41,3.41,7.12,NULL,270,NULL,"쭈꾸미, 소고기, 양파, 쌀, 겨자"
154,삼겹매콤와퍼,155,100,302,36,21,14,581,4.3,6.42,654,123.21,"돼지고기, 양파, 달걀, 간장, 쌀"
155,데리와퍼참치,156,282.1,552.5,71.5,14.3,23.4,4.16,0,39,806,0,"참치, 양파, 쌀, 김, 데리야끼소스, 달걀, 마요네즈"
156,제육와퍼,157,250,389.5,57.565,14.925,10.705,3.1985,4.394,35.5,272,362.5,"돼지고기, 쌀, 김, 달걀, 데리야끼소스, 마요네즈, 고추장"
