﻿id,restaurant_id,category,menu,price,restaurant_name,emotion,weather
142,5,샌드위치,바베큐치킨 샌드,7500,샐러디 인천대점,"적당, 기쁨, 스트레스",맑음
143,5,샌드위치,시저치킨 랩,6700,샐러디 인천대점,"적당, 기쁨, 스트레스",맑음
144,5,샌드위치,크리미연어 랩,8600,샐러디 인천대점,적당,맑음
145,5,샌드위치,로스트닭다리살 랩,8500,샐러디 인천대점,적당,맑음
146,5,샌드위치,크랜베리그릭 랩,6900,샐러디 인천대점,적당,맑음
147,5,샌드위치,바베큐치킨 웜랩,7900,샐러디 인천대점,적당,맑음
148,5,샌드위치,할라피뇨치킨 웜랩,7200,샐러디 인천대점,"적당, 스트레스",맑음
149,6,덮밥,큐브스테이크덮밥,8800,토마토도시락 인천대점,"배고픔, 기쁨","맑음, 황사"
150,6,덮밥,쭈삼덮밥,6800,토마토도시락 인천대점,배고픔,"맑음, 황사"
151,6,덮밥,닭갈비숙주덮밥,5200,토마토도시락 인천대점,배고픔,"맑음, 황사"
152,6,덮밥,제육숙주덮밥,5200,토마토도시락 인천대점,"배고픔, 피곤, 스트레스","맑음, 황사"
153,6,덮밥,소불숙주덮밥,6900,토마토도시락 인천대점,배고픔,"맑음, 황사"
154,6,덮밥,쭈불덮밥,7000,토마토도시락 인천대점,배고픔,"맑음, 황사"
155,6,덮밥,삼겹매콥와퍼,6900,토마토도시락 인천대점,"배고픔, 피곤, 스트레스","맑음, 황사"
156,6,덮밥,데리와퍼참치,4500,토마토도시락 인천대점,배고픔,"맑음, 황사"
157,6,덮밥,제육와퍼,4700,토마토도시락 인천대점,배고픔,"맑음, 황사"
158,6,덮밥,김치제육와퍼,5500,토마토도시락 인천대점,"배고픔, 피곤, 스트레스","맑음, 황사"
159,6,덮밥,데리와퍼치킨,4500,토마토도시락 인천대점,배고픔,"맑음, 황사"
160,6,덮밥,참치마요,3700,토마토도시락 인천대점,배고픔,"맑음, 황사"
161,6,덮밥,치킨마요,3700,토마토도시락 인천대점,배고픔,"맑음, 황사"
162,6,덮밥,삼겹매콤마요,4900,토마토도시락 인천대점,"배고픔, 피곤, 스트레스","맑음, 황사"
163,6,덮밥,불고기비빔밥,7500,토마토도시락 인천대점,배고픔,맑음
164,6,덮밥,야채참치비빔밥,5700,토마토도시락 인천대점,배고픔,맑음
165,6,덮밥,강된장제육비빔밥,6500,토마토도시락 인천대점,배고픔,맑음
166,6,도시락,불맛땡초치킨도시락,5800,토마토도시락 인천대점,"배고픔, 피곤, 스트레스","맑음, 황사"
167,6,도시락,마늘간장치킨도시락,5800,토마토도시락 인천대점,배고픔,"맑음, 황사"
168,6,도시락,새우콤보도시락,5900,토마토도시락 인천대점,배고픔,"맑음, 황사"
169,6,도시락,칠리콤보도시락,5700,토마토도시락 인천대점,"배고픔, 피곤, 스트레스","맑음, 황사"
170,6,도시락,콤보도시락,5700,토마토도시락 인천대점,배고픔,"맑음, 황사"
