이름,그램,열량(kcal),탄수화물,단백질,지방,포화지방,불포화지방,콜레스테롤(mg),나트륨(mg),칼륨(mg),재료
치즈뿌치(반마리),100,304,,24,,4.2,,,458,,"우유, 밀가루, 닭고기, 치즈"
치즈뿌치(한마리),100,304,,24,,4.2,,,458,,"우유, 밀가루, 닭고기, 치즈"
후라이드치킨(반마리),100,319,,23,,3.9,,,507,,"밀가루, 닭고기"
후라이드치킨(한마리),100,319,,23,,3.9,,,507,,"밀가루, 닭고기"
간장마늘치킨(반마리),100,304,,23,,3.1,,,521,,"밀가루, 닭고기, 조개, 간장, 마늘"
간장마늘치킨(한마리),100,304,,23,,3.1,,,521,,"밀가루, 닭고기, 조개, 간장, 마늘"
맘스양념치킨(반마리),100,269,,16,,2.2,,,569,,"우유, 밀가루, 닭고기, 토마토"
맘스양념치킨(한마리),100,269,,16,,2.2,,,569,,"우유, 밀가루, 닭고기, 토마토"
반반치킨(후라이드+양념1종),100,310,,22,,4,,,500,,"우유, 밀가루, 닭고기"
닭강정트리오,100,304,,10,,2.5,,,438,,"우유, 땅콩, 밀가루, 아황산, 닭고기, 조개"
케이준떡강정(S),100,321,,10,,2.8,,,433,,"우유, 땅콩, 밀가루, 아황산, 닭고기"
간장마늘떡강정(S),100,301,,9,,2.4,,,420,,"우유, 밀가루, 닭고기, 조개"
치파오떡강정(S),100,290,,11,,2.5,,,460,,"우유, 밀가루, 닭고기"
후라이드텐더(4조각),100,308,,23,,3.1,,,394,,"밀가루, 닭고기"
후라이드텐더(8조각),100,308,,23,,3.1,,,394,,"밀가루, 닭고기"
찐감자찰빵2조각,100,277,,3,,4.8,,,271,,"우유, 밀가루, 아황산, 감자"
코울슬로,120,160,,1,,1.1,,,440,,"양배추, 양파, 마요네즈"
콘샐러드,100,140,,1,,1.2,,,370,,"옥수수, 마요네즈"
바삭크림치즈볼(2조각),60,209,,3,,4.1,,,238,,"우유, 밀가루, 치즈"
달콤카라멜볼,62,277,,4,,7.1,,,225,,"우유, 밀가루, 카라멜"
케이준양념감자,100,313,,5,,3.2,,,750,,"밀가루, 감자"
케이준양념감자(대),180,564,,8,,5.7,,,1351,,"밀가루, 감자"
치즈감자,155,439,,8,,6.5,,,1007,,"밀가루, 감자, 치즈"
치즈스틱,40,129,,6,,2.7,,,217,,"밀가루, 치즈, 우유"
매콤김떡만,190,269,,10,,3.2,,,848,,"밀가루, 우유, 돼지고기, 아황산, 닭고기, 조개"
할라피뇨너겟(4조각),65,153,,11,,1.8,,,313,,"밀가루, 닭고기, 조개"
탄단지샐러디,245,371.1,34.7,17.8,19.6,2.8,,,365.6,,"치킨, 크랜베리, 감자, 견과류, 오리엔탈소스, 채소"
로스트닭다리살샐러디,320,338.1,51.3,10.9,11.3,2.8,,,880.4,,"닭고기, 단호박, 토마토, 양파, 옥수수, 크리미할라피뇨소스, 채소"
콥샐러디,215,219.1,14.1,12.3,15.2,4.5,,,486.2,,"채소, 달걀, 옥수수, 올리브, 양파, 베이컨"
우삼겹메밀면샐러디,305,307,39.2,18.9,14.7,0.9,,,427.2,,"채소, 돼지고기, 메밀면, 오이, 양파, 견과류"
연어샐러디,260,297.4,24.2,15.4,15.2,1.6,,,304.2,,"채소, 연어, 감자, 양파, 레몬"
시저치킨샐러디,160,116.4,15.1,14,0.9,0.3,,,210.9,,"채소, 닭고기, 크랜베리, 시저소스"
칠리베이컨웜볼,300,485.4,65.5,20.3,15.8,5.7,,,438.8,,"채소, 쌀, 베이컨, 달걀, 옥수수"
우삼겹웜볼,285,409.9,59.9,21.3,10.8,1.1,,,242.9,,"채소, 쌀, 돼지고기, 양파, 견과류, 오리엔탈소스"
에그베이컨 샌드,195,442.5,45.7,14.5,22.1,7.4,,,576.1,,"채소, 달걀, 베이컨, 토마토, 치즈, 허니머스타드소스"
치킨토마토샌드,194,421.5,39.4,16.1,22.4,6,,,548.3,,"채소, 닭고기, 토마토, 크랜베리, 치즈, 시저소스"
맥시칸랩,219,565.6,53.9,15.2,32.6,7.3,,,893.7,,"채소, 소고기, 나쵸, 샤워크림, 크리미칠리소스"
칠리베이컨웜랩,315,744.1,84.3,21,35.9,10.2,,,1153,,"채소, 쌀, 베이컨, 달걀, 옥수수, 크리미칠리소스"
우삼겹웜랩,305,622,73,23.2,27.4,5.3,,,884,,"채소, 쌀, 돼지고기, 양파, 견과류, 오리엔탈소스"
스파이시비프 브레드,248,420,62,24.1,17.1,4.8,,,646.3,,"채소, 돼지고기, 양파, 치즈, 크리미칠리소스"
바질치킨 브레드,269,588,63.3,23.9,24,8.6,,,831.5,,"채소, 닭고기, 토마토, 양파, 할라피뇨, 치즈, 크리미할라피뇨소스"
바질치킨 랩,224,524,48.1,20.8,27.5,6.4,,,882.7,,"채소, 닭고기, 바질페스토, 크랜베리, 시저소스"
단호박두부 샐러디,295,264.4,36.4,7.3,11.8,1.6,,,368.7,,"채소, 단호박, 두부, 당근, 옥수수, 올리브, 타바스코오리엔탈소스"
머쉬룸두부 웜볼,360,431.5,76.3,15.6,10.4,1.1,,,182.6,,"채소, 쌀, 버섯, 두부, 양파, 옥수수, 타바스코오리엔탈소스"
바베큐치킨 웜볼,370,519.3,90.5,17.3,8.3,0.9,,,583.6,,"채소, 쌀, 닭고기, 달걀, 양파, 옥수수, 타바스코오리엔탈소스"
할라피뇨치킨 웜볼,345,409.3,71.4,24.9,5.2,0.5,,,786.8,,"채소, 쌀, 닭고기, 할라피뇨, 옥수수, 샤워크림, 크리미칠리소스"
크리미연어 샌드,204,396.1,39.7,14.9,19.7,4.9,,,751.7,,"채소, 연어, 양파, 토마토, 치즈, 크리미할라피뇨소스"
바베큐치킨 샌드,234,415.6,46.5,14.6,16.7,7.5,,,835.5,,"채소, 닭고기, 토마토, 양파, 치즈, 허니머스타드소스"
시저치킨 랩,224,501.1,49.8,18.6,26.2,6,,,824.1,,"채소, 닭고기, 크랜베리, 시저소스"
크리미연어 랩,249,488.1,53.6,16.1,19.8,4.1,,,1027.1,,"채소, 연어, 양파, 토마토, 크리미할라피뇨소스"
로스트닭다리살 랩,289,564,60,16.2,25.5,7.7,,,1184.4,,"채소, 닭고기, 양파, 토마토, 할라피뇨, 샤워크림, 크리미할라피뇨소스"
크랜베리그릭 랩,222,538.2,56.4,11.2,31.3,9,,,760.9,,"채소, 치즈, 크랜베리, 올리브, 토마토, 견과류, 시저소스"
바베큐치킨 웜랩,350,629.9,95.5,17.3,17.8,4,,,1208,,"채소, 쌀, 닭고기, 양파, 옥수수, 할라피뇨, 허니머스타드소스"
할라피뇨치킨 웜랩,338,603.8,47.5,17.2,15.4,2.2,,,789.2,,"채소, 쌀, 닭고기, 할라피뇨, 샤워크림, 크리미칠리소스"
참치마요,217,425,55,11,18,3.2,,30,620,,"쌀, 참치, 양파, 김, 달걀, 마요네즈, 데리야끼소스"
치킨마요,233,425,61,14,14,2.4,,65,810,,"쌀, 닭고기, 양파, 김, 달걀, 마요네즈, 데리야끼소스"
큐브스테이크덮밥,300,445,54.33,25.29,13.29,5.265,5.6,47,685,565,"소고기, 쌀, 양파, 파, 겨자, 데리야끼소스"
쭈삼덮밥,100,276,32,14,12,561,4.2,5.31,230,123.21,"쭈꾸미, 돼지고기, 고추장, 양파, 겨자, 쌀"
닭갈비숙주덮밥,310,460,75,15,11,1.3,,30,920,,"닭고기, 숙주, 양파, 고추장, 겨자, 쌀"
제육숙주덮밥,500,779,115.13,29.85,21.41,6.397,8.788,71,544,725,"돼지고기, 숙주, 양파, 고추장, 겨자, 쌀"
소불숙주덮밥,300,440,48.77,28.64,12.74,3.244,5.098,54,304,486,"소고기, 숙주, 양파, 쌀, 겨자"
쭈불덮밥,100,298,54.1,28.12,15.41,3.41,7.12,,270,,"쭈꾸미, 소고기, 양파, 쌀, 겨자"
삼겹매콤와퍼,100,302,36,21,14,581,4.3,6.42,654,123.21,"돼지고기, 양파, 달걀, 간장, 쌀"
데리와퍼참치,282.1,552.5,71.5,14.3,23.4,4.16,0,39,806,0,"참치, 양파, 쌀, 김, 데리야끼소스, 달걀, 마요네즈"
제육와퍼,250,389.5,57.565,14.925,10.705,3.1985,4.394,35.5,272,362.5,"돼지고기, 쌀, 김, 달걀, 데리야끼소스, 마요네즈, 고추장"
김치제육와퍼,250,381,56.1,14,11,3.2,4.9,46.6,284,391,"돼지고기, 고추장, 김치, 달걀, 데리야끼소스, 쌀, 김"
데리와퍼치킨,302.9,552.5,79.3,18.2,18.2,3.12,0,84.5,1053,0,"쌀, 닭고기, 양파, 김, 달걀, 마요네즈, 데리야끼소스"
삼겹매콤마요,100,312,39.21,13.2,12,561,4.2,5.31,5.12,152.3,"돼지고기, 양파, 달걀, 간장, 쌀"
불고기비빔밥,205,345,54,8,11,2.2,,30,730,,"양파, 시금치, 버섯, 당근, 파프리카, 상추, 쌀, 소고기"
야채참치비빔밥,300,388,75.3,11.22,3.81,1.067,,113,279,364,"양파, 시금치, 버섯, 당근, 파프리카, 상추, 쌀, 참치"
강된장제육비빔밥,380,370,71,11,4.5,0.7,,,880,,"된장, 돼지고기, 양파, 시금치, 버섯, 당근, 파프리카, 상추, 쌀"
불맛땡초치킨도시락,345,585,92,29,11,1.9,,105,1290,,"닭고기, 쌀, 김치, 양배추, 밀가루"
마늘간장치킨도시락,400,754,97,24,30,6,,77,1063,,"마늘, 닭고기, 쌀, 김치, 양배추, 밀가루"
새우콤보도시락,400,712,81,36.32,30,,,,831.3,,"새우, 돼지고기, 밀가루, 쌀, 김치, 양배추"
칠리콤보도시락,400,741,104.3,27.32,19.3,6.4,9.12,249,782,720,"돼지고기, 닭고기, 밀가루, 쌀, 김치, 양배추, 칠리소스"
